Produto;Descricao;Unidade;Lote;Localizacao;Fisico;Sistema;Diferenca;Custo STD;Valor Total
ZR00910370;"PINCEL DE 2""";pcs;;Z-B4A1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910370;"PINCEL DE 2""";pcs;;Z-E1E1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910370;"PINCEL DE 2""";pcs;;Z-E1F1;               0,000;               4,000;         4,0000;         2,3000;         9,2000
ZR00910370;"PINCEL DE 2""";pcs;;Z-E4F1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910373;PREGO 18 X 27;pcs;;Z-B6F1;               0,000;               2,300;         2,3000;         2,3000;         5,2900
ZR00910380;PREGO 22 X 48;pcs;;Z-B6F1;               0,000;               3,540;         3,5400;         2,3000;         8,1420
ZR00910404;COLA SUPER BONDER;pcs;;Z-B4A1;               0,000;               1,000;         1,0000;         2,3000;         2,3000
ZR00910428;OLEO WD 40 PARA FERRUGEM;pcs;;Z-E1D1;               0,000;               8,000;         8,0000;         2,3000;        18,4000
ZR00910429;ZARCAO;pcs;;Z-E1C1;               0,000;               3,600;         3,6000;         2,3000;         8,2800
ZR00910434;LIXA D AGUA NR 600;pcs;;Z-E2G1;               0,000;             114,000;       114,0000;         2,3000;       262,2000
ZR00910438;FUSIVEL DE VIDRO 1 A;pcs;;Z-B3C1;               0,000;               9,000;         9,0000;         2,3000;        20,7000
ZR00910439;ADESIVO LOCTITE 277;pcs;;Z-C7D1;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00910443;FUSIVEL NH3 630A 3NA3 372 SIEM;pcs;;Z-B5G1;               0,000;               6,000;         6,0000;         2,3000;        13,8000
ZR00910453;GAXETA GRAFITADA QUADRADA 7/16;pcs;;Z-G4A1;               0,000;               4,800;         4,8000;         2,3000;        11,0400
ZR00910460;LAMPADA BA 9,5 130 VOLTS;pcs;;Z-B3C1;               0,000;              11,000;        11,0000;         2,3000;        25,3000
ZR00910471;SILICONE ADESIVO;pcs;;Z-E1E1;               0,000;              15,000;        15,0000;         2,3000;        34,5000
ZR00910472;LAMPADA BA 15 220 VOLTS;pcs;;Z-B3C1;               0,000;              33,000;        33,0000;         2,3000;        75,9000
ZR00910485;GAXETA GRAFITADA QUADRADA 9/16;pcs;;Z-G4B1;               0,000;              13,260;        13,2600;         2,3000;        30,4980
ZR00910488;LIXA DE FERRO NR 36;pcs;;Z-E3A1;               0,000;              18,000;        18,0000;         2,3000;        41,4000
ZR00910492;LIXA DE FERRO NR 240;pcs;;Z-E2C1;               0,000;              20,000;        20,0000;         2,3000;        46,0000
ZR00910493;ESMALTE SINT ALQUID GRYPITALVM;pcs;;Z-H;               0,000;               7,200;         7,2000;         2,3000;        16,5600
ZR00910501;ADESIVO LOCTITE 638  (50 GR);pcs;;Z-D2D1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910502;ADESIVO LOCTITE 515;pcs;;Z-D2D1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910505;GAXETA QUADRADA 1/2 C/AMIANTO;pcs;;Z-C8D1;               0,000;               4,300;         4,3000;         2,3000;         9,8900
ZR00910516;PILHA MEDIA C;pcs;;Z-B3D1;               0,000;              30,000;        30,0000;         2,3000;        69,0000
ZR00910522;LIXA DE FERRO NR 280;pcs;;Z-E2C1;               0,000;              13,000;        13,0000;         2,3000;        29,9000
ZR00910530;ABRACADEIRA AJUSTAVEL 4 1/2;pcs;;Z-B4H1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910531;"ABRACADEIRA AJUSTAVEL 2 1/2""";pcs;;Z-B4H1;               0,000;               6,000;         6,0000;         2,3000;        13,8000
